# time identity distance inter intra
4424 1 109.928060 95.891624 22.079843
4425 1 111.030824 86.085494 22.220704
4426 1 116.242906 78.623265 17.726553
4427 1 100.321234 106.613581 27.198903
4428 1 93.206176 112.329992 25.079974
4429 1 88.966211 114.587345 24.227062
4430 1 89.227058 124.291795 26.816923
4431 1 89.154300 116.751033 24.386225
4432 1 83.686267 118.181321 30.940375
4433 1 80.242963 141.408568 30.371890
4434 1 81.246561 144.685084 31.943606
4435 1 77.087886 142.077886 30.628105
4436 1 78.890837 137.200229 25.753172
4437 1 75.562991 138.156708 21.625512
4438 1 77.766193 135.261755 18.062722
4439 1 87.719965 130.568892 21.839187
4440 1 81.737609 133.642733 21.049791
4441 1 86.408702 135.139794 20.537245
4442 1 79.920033 126.449608 15.069239
4443 1 81.613152 120.393916 15.547065
4444 1 82.137637 102.054347 24.329954
4445 1 77.662141 107.323579 18.201842
4446 1 87.092967 108.958074 19.729604
4447 1 90.156967 130.289304 18.705692
4448 1 86.037028 146.134153 21.620005
4449 1 81.102255 124.421096 19.169352
4450 1 89.728420 119.567196 14.190843
4451 1 85.087628 131.439315 14.765936
4452 1 88.941149 112.281185 9.865608
4453 1 87.304629 111.505001 11.808974
4454 1 90.476701 121.565723 12.838932
4455 1 88.139226 132.262728 18.588574
4456 1 80.348170 133.937281 16.707305
4457 1 79.335590 145.932968 18.260686
